topic,level,name,year,group,estimate,moe,share,sharemoe
total_pop,1_us,United States,2022,total_pop,331097593,0,NA,NA
total_pop,2_state,Connecticut,2022,total_pop,3611317,0,NA,NA
total_pop,3_county,Capitol COG,2022,total_pop,977165,0,NA,NA
total_pop,3_county,Greater Bridgeport COG,2022,total_pop,326381,0,NA,NA
total_pop,3_county,Lower Connecticut River Valley COG,2022,total_pop,175244,0,NA,NA
total_pop,3_county,Naugatuck Valley COG,2022,total_pop,451887,0,NA,NA
total_pop,3_county,Northeastern Connecticut COG,2022,total_pop,95687,0,NA,NA
total_pop,3_county,Northwest Hills COG,2022,total_pop,112696,0,NA,NA
total_pop,3_county,South Central Connecticut COG,2022,total_pop,571298,0,NA,NA
total_pop,3_county,Southeastern Connecticut COG,2022,total_pop,280293,0,NA,NA
total_pop,3_county,Western Connecticut COG,2022,total_pop,620666,0,NA,NA
total_pop,4_region,6 wealthiest Fairfield County,2022,total_pop,123272,98,NA,NA
total_pop,4_region,Eastern cities,2022,total_pop,130317,82,NA,NA
total_pop,4_region,Greater Bridgeport,2022,total_pop,326381,154,NA,NA
total_pop,4_region,Greater Danbury,2022,total_pop,267885,368,NA,NA
total_pop,4_region,Greater Danbury other towns,2022,total_pop,153248,364,NA,NA
total_pop,4_region,Greater Hartford,2022,total_pop,977165,240,NA,NA
total_pop,4_region,Greater New Haven,2022,total_pop,466491,130,NA,NA
total_pop,4_region,Greater Norwalk,2022,total_pop,167730,109,NA,NA
total_pop,4_region,Greater Norwalk other towns,2022,total_pop,76680,81,NA,NA
total_pop,4_region,Greater Waterbury,2022,total_pop,340394,579,NA,NA
total_pop,4_region,Hartford Foundation,2022,total_pop,758725,203,NA,NA
total_pop,4_region,Hartford Foundation other towns,2022,total_pop,637668,198,NA,NA
total_pop,4_region,Hartford Inner Ring,2022,total_pop,425652,160,NA,NA
total_pop,4_region,Hartford Outer Ring,2022,total_pop,356244,147,NA,NA
total_pop,4_region,Lower Naugatuck Valley,2022,total_pop,139814,71,NA,NA
total_pop,4_region,New Haven Inner Ring,2022,total_pop,144276,80,NA,NA
total_pop,4_region,New Haven Outer Ring,2022,total_pop,186479,86,NA,NA
total_pop,4_region,North Central DMHAS,2022,total_pop,1007988,259,NA,NA
total_pop,4_region,Other New Haven County cities,2022,total_pop,104807,47,NA,NA
total_pop,4_region,QVHD,2022,total_pop,99593,69,NA,NA
total_pop,4_region,South Central DMHAS,2022,total_pop,825803,376,NA,NA
total_pop,4_region,Southeastern DMHAS,2022,total_pop,437516,674,NA,NA
total_pop,4_region,Southwestern DMHAS,2022,total_pop,714593,213,NA,NA
total_pop,4_region,Western DMHAS,2022,total_pop,625417,738,NA,NA
total_pop,6_town,Andover,2022,total_pop,3160,15,NA,NA
total_pop,6_town,Avon,2022,total_pop,18852,28,NA,NA
total_pop,6_town,Berlin,2022,total_pop,20149,29,NA,NA
