level,city,name,Total population,Population under age 18,Percent under age 18,Population ages 18+,Percent ages 18+,Population ages 65+,Percent ages 65+,White population,Percent white,Black population,Percent black,Latino population,Percent Latino,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
2_state,,Connecticut,3611317,742877,0.21,2868440,0.79,629108,0.17,2308644,0.64,355970,0.1,627408,0.17,319295,0.09,542964,0.15,1409807,932588,0.66,480042,0.35,3507563,355692,0.1,786615,0.22,733553,98183,0.13,210923,0.29,609617,48446,0.08,132552,0.22
6_town,,Bridgeport,148470,30802,0.21,117668,0.79,20091,0.14,48108,0.32,29156,0.2,53790,0.36,17416,0.12,46663,0.31,55550,25118,0.45,27657,0.51,144673,33135,0.23,63425,0.44,30537,10637,0.35,18937,0.62,19636,3324,0.17,7767,0.4
7_neighborhood,Bridgeport,Black Rock,12311,1556,0.13,10755,0.87,1482,0.12,8932,0.73,1080,0.09,1534,0.12,765,0.06,2469,0.2,6084,2231,0.37,2352,0.39,12310,1897,0.15,2771,0.23,1555,259,0.17,302,0.19,1482,280,0.19,471,0.32
7_neighborhood,Bridgeport,Brooklawn-St. Vincent,27402,5515,0.2,21887,0.8,4734,0.17,9968,0.36,5072,0.19,7986,0.29,4379,0.16,10011,0.37,10713,5069,0.47,5757,0.55,26659,4611,0.17,10438,0.39,5480,1467,0.27,3125,0.57,4655,742,0.16,1583,0.34
7_neighborhood,Bridgeport,Downtown,2295,177,0.08,2118,0.92,571,0.25,792,0.35,472,0.21,706,0.31,324,0.14,463,0.2,1256,171,0.14,419,0.36,2103,666,0.32,1030,0.49,177,89,0.5,105,0.59,570,171,0.3,357,0.63
7_neighborhood,Bridgeport,East End,7696,2432,0.32,5264,0.68,704,0.09,463,0.06,2785,0.36,3693,0.48,755,0.1,1843,0.24,2320,888,0.38,1408,0.64,7645,2578,0.34,4382,0.57,2412,1322,0.55,1815,0.75,704,160,0.23,383,0.54
7_neighborhood,Bridgeport,East Side,11141,2974,0.27,8167,0.73,1083,0.1,827,0.07,2691,0.24,7015,0.63,608,0.05,3574,0.32,4007,1049,0.26,2266,0.6,11048,3629,0.33,6882,0.62,2926,1276,0.44,2190,0.75,1085,267,0.25,650,0.6
7_neighborhood,Bridgeport,Enterprise,686,141,0.21,545,0.79,79,0.12,201,0.29,163,0.24,272,0.4,52,0.08,291,0.42,255,67,0.26,109,0.45,685,155,0.23,286,0.42,141,53,0.38,100,0.71,77,9,0.12,13,0.17
7_neighborhood,Bridgeport,Hollow,8771,2328,0.27,6443,0.73,751,0.09,1714,0.2,1505,0.17,4988,0.57,564,0.06,3402,0.39,3283,831,0.25,1847,0.58,8721,2879,0.33,5589,0.64,2279,1182,0.52,1741,0.76,751,265,0.35,518,0.69
7_neighborhood,Bridgeport,Mill Hill,11323,2368,0.21,8955,0.79,2049,0.18,2717,0.24,2779,0.25,5095,0.45,732,0.06,3201,0.28,4403,1983,0.45,2244,0.53,10976,3280,0.3,5596,0.51,2364,1074,0.45,1634,0.69,1812,375,0.21,951,0.52
7_neighborhood,Bridgeport,North End,28494,4556,0.16,23938,0.84,4626,0.16,14785,0.52,2955,0.1,5357,0.19,5395,0.19,9388,0.33,10325,6934,0.67,4902,0.49,26984,3934,0.15,9404,0.35,4517,592,0.13,2351,0.52,4492,357,0.08,1097,0.24
7_neighborhood,Bridgeport,Reservoir-Whiskey Hill,8381,2068,0.25,6313,0.75,1096,0.13,1490,0.18,3334,0.4,3233,0.39,324,0.04,2728,0.33,2573,1658,0.64,996,0.41,8349,1882,0.23,3002,0.36,2037,802,0.39,1145,0.56,1097,239,0.22,448,0.41
7_neighborhood,Bridgeport,South End,4040,603,0.15,3437,0.85,361,0.09,1468,0.36,382,0.09,1501,0.37,690,0.17,1000,0.25,1438,571,0.4,708,0.53,3372,1089,0.32,1749,0.52,589,346,0.59,489,0.83,362,48,0.13,82,0.23
7_neighborhood,Bridgeport,Upper East Side,9994,1881,0.19,8113,0.81,1354,0.14,3070,0.31,1998,0.2,4225,0.42,703,0.07,3047,0.3,3850,2303,0.6,1672,0.47,9995,1568,0.16,3380,0.34,1883,431,0.23,863,0.46,1354,75,0.06,460,0.34
7_neighborhood,Bridgeport,West End-West Side,15916,4196,0.26,11720,0.74,1198,0.08,1678,0.11,3934,0.25,8179,0.51,2125,0.13,5239,0.33,5037,1359,0.27,2973,0.6,15809,4964,0.31,8911,0.56,4178,1746,0.42,3078,0.74,1197,338,0.28,756,0.63
