level,name,Total population,Population under age 18,Percent under age 18,Population ages 65+,Percent ages 65+,Male population,Percent male,Female population,Percent female,White population,Percent white,Black population,Percent black,Latino population,Percent Latino,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Households with 1+ vehicles,"Percent of households, 1+ vehicles",Adults ages 25+,Adults without high school diploma,"Percent of adults, no high school diploma",Adults with bachelor's or higher,"Percent of adults, bachelor's or higher",Median household income,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
2_state,Connecticut,3611317,742877,0.21,629108,0.17,1769196,0.49,1842121,0.51,2308644,0.64,355970,0.1,627408,0.17,319295,0.09,542964,0.15,1409807,932588,0.66,480042,0.35,1289318,0.91,2520790,220076,0.09,1043226,0.41,90213,3507563,355692,0.1,786615,0.22,733553,98183,0.13,210923,0.29,609617,48446,0.08,132552,0.22
3_county,Capitol COG,977165,200946,0.21,167285,0.17,477460,0.49,499705,0.51,593343,0.61,114765,0.12,174513,0.18,94544,0.1,143765,0.15,386549,252141,0.65,123029,0.33,349785,0.9,675246,60675,0.09,277549,0.41,88190,942162,101370,0.11,214596,0.23,198566,27821,0.14,57625,0.29,161750,14105,0.09,36835,0.23
3_county,Greater Bridgeport COG,326381,71713,0.22,51824,0.16,159824,0.49,166557,0.51,193916,0.59,35413,0.11,66469,0.2,30583,0.09,68425,0.21,117497,77956,0.66,47858,0.42,105805,0.9,221540,25842,0.12,92435,0.42,83147,316788,42156,0.13,84512,0.27,70986,12586,0.18,24041,0.34,50636,5055,0.1,12428,0.25
3_county,Lower Connecticut River Valley COG,175244,30301,0.17,36544,0.21,86193,0.49,89051,0.51,142415,0.81,7795,0.04,12296,0.07,12738,0.07,13977,0.08,73084,54922,0.75,21759,0.3,69557,0.95,128960,6094,0.05,58376,0.45,99742,168957,10964,0.06,27482,0.16,29891,1952,0.07,5436,0.18,35167,2223,0.06,6515,0.19
3_county,Naugatuck Valley COG,451887,93594,0.21,80450,0.18,220494,0.49,231393,0.51,277686,0.61,47360,0.1,86177,0.19,40664,0.09,60490,0.13,177656,119006,0.67,59777,0.35,160835,0.91,320582,30931,0.1,106657,0.33,82939,445259,45555,0.1,103697,0.23,92030,12609,0.14,26619,0.29,77974,6421,0.08,18330,0.24
3_county,Northeastern Connecticut COG,95687,19152,0.2,16375,0.17,47915,0.5,47772,0.5,77810,0.81,1363,0.01,11315,0.12,5199,0.05,4472,0.05,38574,28696,0.74,11124,0.3,36641,0.95,68920,6007,0.09,17252,0.25,83119,94421,8356,0.09,20934,0.22,19028,2232,0.12,5747,0.3,15841,1138,0.07,3651,0.23
3_county,Northwest Hills COG,112696,21501,0.19,23033,0.2,55997,0.5,56699,0.5,87840,0.78,4939,0.04,12232,0.11,7685,0.07,10729,0.1,45976,34234,0.74,13699,0.31,43152,0.94,82679,5633,0.07,31361,0.38,87971,110869,10462,0.09,23104,0.21,20864,2620,0.13,5607,0.27,22302,1435,0.06,4116,0.18
3_county,South Central Connecticut COG,571298,113362,0.2,99975,0.17,276095,0.48,295203,0.52,350326,0.61,70625,0.12,107644,0.19,42703,0.07,74199,0.13,226154,137967,0.61,81322,0.37,200970,0.89,395812,33937,0.09,159900,0.4,83617,548511,64563,0.12,136599,0.25,112180,18619,0.17,37769,0.34,96682,8092,0.08,22330,0.23
3_county,Southeastern Connecticut COG,280293,54146,0.19,52957,0.19,140310,0.5,139983,0.5,209147,0.75,14246,0.05,31878,0.11,25022,0.09,23079,0.08,113810,75262,0.66,35971,0.32,105528,0.93,197755,15048,0.08,66866,0.34,80330,267571,26614,0.1,63895,0.24,53490,7200,0.13,16552,0.31,51122,3079,0.06,10632,0.21
3_county,Western Connecticut COG,620666,138162,0.22,100665,0.16,304908,0.49,315758,0.51,376161,0.61,59464,0.1,124884,0.2,60157,0.1,143828,0.23,230507,152404,0.66,85503,0.38,217045,0.94,429296,35909,0.08,232830,0.54,118930,613025,45652,0.07,111796,0.18,136518,12544,0.09,31527,0.23,98143,6898,0.07,17715,0.18
4_region,6 wealthiest Fairfield County,123272,33950,0.28,20093,0.16,60996,0.49,62276,0.51,100019,0.81,2507,0.02,7775,0.06,12971,0.11,16538,0.13,42816,37416,0.87,13414,0.32,41770,0.98,80929,1725,0.02,63677,0.79,NA,122580,4408,0.04,9203,0.08,33779,997,0.03,2239,0.07,19792,862,0.04,2137,0.11
4_region,Backus Hospital HSA,116433,24271,0.21,20534,0.18,58638,0.5,57795,0.5,88962,0.76,6337,0.05,10560,0.09,10574,0.09,8397,0.07,46346,32507,0.7,14937,0.33,42900,0.93,82879,7453,0.09,19838,0.24,NA,114618,10995,0.1,28375,0.25,23893,2914,0.12,7543,0.32,20053,1378,0.07,4686,0.23
4_region,Backus Hospital HSA other towns,76379,16270,0.21,12764,0.17,38708,0.51,37671,0.49,64018,0.84,2399,0.03,4539,0.06,5423,0.07,3053,0.04,29181,23178,0.79,8360,0.29,27859,0.95,54016,3701,0.07,13351,0.25,NA,74972,5815,0.08,15329,0.2,16107,1652,0.1,4339,0.27,12448,677,0.05,2499,0.2
4_region,Charlotte Hungerford HSA,100501,19511,0.19,19850,0.2,50440,0.5,50061,0.5,78385,0.78,4890,0.05,10709,0.11,6517,0.06,8953,0.09,41455,30795,0.74,12981,0.32,38562,0.93,73462,4928,0.07,26028,0.35,NA,98997,9514,0.1,21005,0.21,18882,2295,0.12,4958,0.26,19180,1379,0.07,3792,0.2
4_region,Charlotte Hungerford HSA other towns,54713,11121,0.2,11403,0.21,27812,0.51,26901,0.49,46722,0.85,1220,0.02,3492,0.06,3279,0.06,3596,0.07,21996,18373,0.84,6014,0.28,20990,0.95,39853,1389,0.03,17638,0.44,NA,54164,3104,0.06,7257,0.13,10892,848,0.08,1455,0.13,11172,336,0.03,1556,0.14
4_region,Eastern Connecticut Health Network,224556,46953,0.21,36105,0.16,111286,0.5,113270,0.5,136692,0.61,24236,0.11,37955,0.17,25673,0.11,31229,0.14,90293,59088,0.65,27395,0.31,84336,0.93,158387,10477,0.07,60778,0.38,NA,222695,22439,0.1,51514,0.23,46338,5725,0.12,13438,0.29,35116,3249,0.09,8070,0.23
4_region,Eastern Connecticut Health Network other towns,83815,18285,0.22,14521,0.17,42327,0.51,41488,0.49,66311,0.79,1864,0.02,5156,0.06,10484,0.13,9100,0.11,32327,26717,0.83,7397,0.23,31414,0.97,58582,1710,0.03,29902,0.51,NA,83426,5007,0.06,9703,0.12,18056,1169,0.06,1977,0.11,14389,665,0.05,2004,0.14
4_region,Eastern cities,130317,23709,0.18,22803,0.17,65716,0.5,64601,0.5,80819,0.62,10828,0.08,25507,0.2,13163,0.1,15338,0.12,53988,27458,0.51,19783,0.38,47721,0.88,88148,9677,0.11,25150,0.29,NA,120859,18008,0.15,40344,0.33,23250,4852,0.21,10830,0.47,21889,1730,0.08,5379,0.25
4_region,Greater Bridgeport,326381,71713,0.22,51824,0.16,159824,0.49,166557,0.51,193916,0.59,35413,0.11,66469,0.2,30583,0.09,68425,0.21,117497,77956,0.66,47858,0.42,105805,0.9,221540,25842,0.12,92435,0.42,NA,316788,42156,0.13,84512,0.27,70986,12586,0.18,24041,0.34,50636,5055,0.1,12428,0.25
4_region,Greater Danbury,267885,57296,0.21,49577,0.19,130831,0.49,137054,0.51,184816,0.69,15401,0.06,43891,0.16,23777,0.09,48405,0.18,100363,75760,0.75,34911,0.35,95291,0.95,187165,15209,0.08,88445,0.47,NA,262865,17274,0.07,47849,0.18,56724,4479,0.08,13865,0.24,48267,3312,0.07,8681,0.18
4_region,Greater Danbury other towns,153248,33563,0.22,32495,0.21,75328,0.49,77920,0.51,123991,0.81,3894,0.03,13473,0.09,11890,0.08,17181,0.11,57896,49296,0.85,17877,0.31,55456,0.96,108851,4661,0.04,60725,0.56,NA,151632,6395,0.04,19368,0.13,33273,1264,0.04,5138,0.15,31758,1964,0.06,5014,0.16
4_region,Greater Hartford,977165,200946,0.21,167285,0.17,477460,0.49,499705,0.51,593343,0.61,114765,0.12,174513,0.18,94544,0.1,143765,0.15,386549,252141,0.65,123029,0.33,349785,0.9,675246,60675,0.09,277549,0.41,NA,942162,101370,0.11,214596,0.23,198566,27821,0.14,57625,0.29,161750,14105,0.09,36835,0.23
4_region,Greater New Haven,466491,92281,0.2,81110,0.17,225600,0.48,240891,0.52,284244,0.61,65742,0.14,80057,0.17,36448,0.08,62871,0.13,182705,109354,0.6,66758,0.38,161284,0.88,320391,25457,0.08,138995,0.43,NA,445221,52504,0.12,109650,0.25,91173,14598,0.16,29475,0.32,78893,6453,0.08,17488,0.22
4_region,Greater Norwalk,167730,38360,0.23,27003,0.16,83505,0.5,84225,0.5,102262,0.61,17323,0.1,32969,0.2,15176,0.09,38268,0.23,61781,42893,0.69,22211,0.37,58654,0.95,116287,8474,0.07,67936,0.58,NA,166535,12158,0.07,25373,0.15,37827,3196,0.08,6612,0.17,26549,1590,0.06,4219,0.16
4_region,Greater Norwalk other towns,76680,20693,0.27,12630,0.16,37825,0.49,38855,0.51,61584,0.8,1569,0.02,4969,0.06,8558,0.11,11008,0.14,26509,23548,0.89,8243,0.32,25993,0.98,50234,948,0.02,39776,0.79,NA,76104,2330,0.03,4691,0.06,20522,417,0.02,803,0.04,12416,441,0.04,1153,0.09
4_region,Greater Waterbury,340394,71736,0.21,61778,0.18,166137,0.49,174257,0.51,210339,0.62,38908,0.11,61991,0.18,29156,0.09,45992,0.14,133191,91116,0.68,45443,0.35,120797,0.91,239287,23021,0.1,84614,0.35,NA,334920,35269,0.11,78232,0.23,70478,9695,0.14,20096,0.29,60167,4557,0.08,13629,0.23
4_region,Hartford Foundation,758725,158453,0.21,130617,0.17,370387,0.49,388338,0.51,444732,0.59,104319,0.14,132665,0.17,77009,0.1,115213,0.15,303570,198502,0.65,96510,0.33,273768,0.9,535179,45701,0.09,230642,0.43,NA,740411,77340,0.1,162179,0.22,156668,21115,0.13,42743,0.27,126028,11455,0.09,28645,0.23
4_region,Hartford Foundation other towns,637668,130537,0.2,116891,0.18,312366,0.49,325302,0.51,426709,0.67,63216,0.1,76842,0.12,70901,0.11,89496,0.14,255293,186124,0.73,71852,0.29,239473,0.94,459029,26446,0.06,217326,0.47,NA,626815,46802,0.07,104454,0.17,129345,11130,0.09,24860,0.19,112721,7918,0.07,21982,0.2
4_region,Hartford Hospital HSA,504188,104842,0.21,82363,0.16,244421,0.48,259767,0.52,241769,0.48,96336,0.19,114945,0.23,51138,0.1,88698,0.18,203542,119931,0.59,70400,0.36,177649,0.87,352060,38015,0.11,131520,0.37,NA,490941,62304,0.13,129887,0.26,103569,18348,0.18,36195,0.35,79410,8828,0.11,20770,0.26
4_region,Hartford Hospital HSA other towns,383131,76926,0.2,68637,0.18,186400,0.49,196731,0.51,223746,0.58,55233,0.14,59122,0.15,45030,0.12,62981,0.16,155265,107553,0.69,45742,0.3,143354,0.92,275910,18760,0.07,118204,0.43,NA,377345,31766,0.08,72162,0.19,76246,8363,0.11,18312,0.24,66103,5291,0.08,14107,0.21
4_region,Hartford Inner Ring,425652,83804,0.2,77567,0.18,207307,0.49,218345,0.51,262013,0.62,56315,0.13,63629,0.15,43695,0.1,64766,0.15,174989,118921,0.68,52496,0.31,162148,0.93,308083,22240,0.07,125133,0.41,NA,419573,36346,0.09,84517,0.2,83043,9229,0.11,21394,0.26,74837,6221,0.08,16437,0.22
4_region,Hartford Outer Ring,356244,71811,0.2,66304,0.19,176159,0.49,180085,0.51,285189,0.8,9187,0.03,22151,0.06,39717,0.11,38882,0.11,134708,109027,0.81,33718,0.26,129475,0.96,244801,10547,0.04,129975,0.53,NA,337641,20430,0.06,42635,0.13,70981,3872,0.05,8144,0.11,64423,3356,0.05,10529,0.16
